team,venue_city,venue_country,distance_km
Chad,San Francisco Bay Area,USA,12915.7
Chad,Boston,USA,8807.2
Chad,New York/New Jersey,USA,9058.2
Chad,Philadelphia,USA,9165.6
Chad,Houston,USA,11244.9
Chad,Miami,USA,9938.4
Chile,Mexico City,Mexico,6599.9
Chile,Guadalajara,Mexico,6952.9
Chile,Monterrey,Mexico,7280.9
Chile,Atlanta,USA,7610.5
Chile,Kansas City,USA,8428.3
Chile,Toronto,Canada,8618.1
Chile,Dallas,USA,7864.6
Chile,Vancouver,Canada,10557.4
Chile,Seattle,USA,10378.9
Chile,Los Angeles,USA,8997.2
Chile,San Francisco Bay Area,USA,9501.7
Chile,Boston,USA,8400.8
Chile,New York/New Jersey,USA,8266.0
Chile,Philadelphia,USA,8170.2
Chile,Houston,USA,7488.7
Chile,Miami,USA,6684.0
China,Mexico City,Mexico,12470.0
China,Guadalajara,Mexico,12111.9
China,Monterrey,Mexico,11794.6
China,Atlanta,USA,11549.9
China,Kansas City,USA,10691.2
China,Toronto,Canada,10591.2
China,Dallas,USA,11232.0
China,Vancouver,Canada,8514.0
China,Seattle,USA,8690.9
China,Los Angeles,USA,10065.1
China,San Francisco Bay Area,USA,9560.6
China,Boston,USA,10864.6
China,New York/New Jersey,USA,10976.9
China,Philadelphia,USA,11063.6
China,Houston,USA,11608.3
China,Miami,USA,12491.0
Colombia,Mexico City,Mexico,3170.9
Colombia,Guadalajara,Mexico,3642.3
Colombia,Monterrey,Mexico,3640.3
Colombia,Atlanta,USA,3412.1
Colombia,Kansas City,USA,4346.5
Colombia,Toronto,Canada,4370.8
Colombia,Dallas,USA,3936.6
Colombia,Vancouver,Canada,6764.9
Colombia,Seattle,USA,6620.5
