date,home_team,away_team,home_score,away_score,tournament,neutral,k_factor,elo_home_pre,elo_away_pre
1909-03-01,Wales,Scotland,3,2,British Home Championship,FALSE,30,1357.9953,1624.0804
1909-03-15,England,Wales,2,0,British Home Championship,FALSE,30,1783.6648,1379.6653
1909-03-15,Scotland,Northern Ireland,5,0,British Home Championship,FALSE,30,1602.4104,1292.4231
1909-03-18,Guernsey,Jersey,3,0,Muratti Vase,FALSE,30,1553.8068,1509.1851
1909-03-20,Northern Ireland,Wales,2,3,British Home Championship,FALSE,30,1287.2471,1377.3212
1909-03-21,Belgium,Netherlands,1,4,Friendly,FALSE,20,1501.5290,1594.9756
1909-03-25,Guernsey,Alderney,2,0,Muratti Vase,TRUE,30,1569.7203,1437.0081
1909-04-03,England,Scotland,2,0,British Home Championship,FALSE,30,1786.0089,1607.5865
1909-04-04,Germany,Switzerland,1,0,Friendly,FALSE,20,1481.5025,1491.4008
1909-04-04,Hungary,Germany,3,3,Friendly,FALSE,20,1503.1631,1488.9658
1909-04-25,Netherlands,Belgium,4,1,Friendly,FALSE,20,1612.8056,1483.6990
1909-05-02,Austria,Hungary,3,4,Friendly,FALSE,20,1480.0665,1499.9897
1909-05-09,Belgium,France,5,2,Friendly,FALSE,20,1476.3136,1393.6449
1909-05-29,Hungary,England,2,4,Friendly,FALSE,20,1512.2546,1793.5509
1909-05-30,Hungary,Austria,1,1,Friendly,FALSE,20,1504.4410,1467.8016
1909-05-31,Hungary,England,2,8,Friendly,FALSE,20,1500.6992,1801.3644
1909-06-01,Austria,England,1,8,Friendly,FALSE,20,1471.5435,1811.5455
1909-08-15,Argentina,Uruguay,2,1,Copa Lipton,FALSE,30,1518.2544,1468.7384
1909-09-19,Uruguay,Argentina,2,2,Copa Newton,FALSE,30,1459.8225,1527.1703
1909-10-10,Argentina,Uruguay,3,1,Copa Premio Honor Argentino,FALSE,30,1528.5758,1458.4169
1909-11-07,Hungary,Austria,2,2,Friendly,FALSE,20,1490.5181,1462.5094
1910-02-12,Northern Ireland,England,1,1,British Home Championship,FALSE,30,1271.8186,1820.5796
1910-03-05,Scotland,Wales,1,0,British Home Championship,FALSE,30,1600.0445,1392.7496
1910-03-13,Belgium,Netherlands,3,2,Friendly,FALSE,20,1485.3762,1620.1910
