event_id,date,match_slug,team_code,team_espn_abbr,home_away,goals,opponent_goals,fouls,yellow_cards,red_cards,offsides,corners,saves,possession_pct,total_shots,shots_on_target,blocked_shots,passes,pass_pct,interceptions,effective_tackles,clearances,venue,venue_city
760473,2026-06-25,CUR-CIV,CUR,CUW,home,0,2,11,2,0,2,4,1,36.7,11,2,2,355,0.8,15,11,17,Lincoln Financial Field,"Philadelphia, Pennsylvania"
760473,2026-06-25,CUR-CIV,CIV,CIV,away,2,0,6,1,0,1,6,2,63.3,7,3,1,624,0.9,12,9,19,Lincoln Financial Field,"Philadelphia, Pennsylvania"
760474,2026-06-26,SEN-IRQ,SEN,SEN,home,5,0,10,2,0,1,12,1,69.2,28,12,5,590,0.9,2,9,10,BMO Field,Toronto
760474,2026-06-26,SEN-IRQ,IRQ,IRQ,away,0,5,11,2,1,0,3,7,30.8,6,1,4,266,0.7,7,13,34,BMO Field,Toronto
760475,2026-06-26,NOR-FRA,NOR,NOR,home,1,4,9,1,0,1,4,5,43.3,10,4,3,421,0.8,13,11,16,Gillette Stadium,"Foxborough, Massachusetts"
760475,2026-06-26,NOR-FRA,FRA,FRA,away,4,1,11,1,0,2,5,3,56.7,18,9,3,555,0.9,11,12,19,Gillette Stadium,"Foxborough, Massachusetts"
760476,2026-06-26,EGY-IRN,EGY,EGY,home,1,1,11,3,0,0,8,2,61.4,15,3,6,589,0.9,7,10,38,Lumen Field,"Seattle, Washington"
760476,2026-06-26,EGY-IRN,IRN,IRN,away,1,1,16,4,0,3,2,2,38.6,13,4,3,367,0.8,8,17,32,Lumen Field,"Seattle, Washington"
760477,2026-06-26,NZL-BEL,NZL,NZL,home,1,5,10,2,0,1,5,5,45.5,6,2,1,436,0.8,6,6,35,BC Place,Vancouver
760477,2026-06-26,NZL-BEL,BEL,BEL,away,5,1,7,0,0,1,8,1,54.5,35,10,12,525,0.9,10,8,27,BC Place,Vancouver
760478,2026-06-26,CPV-SAU,CPV,CPV,home,0,0,10,1,0,2,4,3,51.0,15,2,5,451,0.8,13,12,29,NRG Stadium,"Houston, Texas"
760478,2026-06-26,CPV-SAU,SAU,KSA,away,0,0,16,3,0,0,2,2,49.0,7,3,3,444,0.8,11,15,25,NRG Stadium,"Houston, Texas"
760479,2026-06-26,URU-ESP,URU,URU,home,0,1,14,3,1,5,1,0,33.1,5,1,1,301,0.8,14,15,14,Estadio Akron,Guadalajara
760479,2026-06-26,URU-ESP,ESP,ESP,away,1,0,14,1,0,2,6,2,66.9,6,1,1,622,0.9,9,10,23,Estadio Akron,Guadalajara
760480,2026-06-27,CRO-GHA,CRO,CRO,home,2,1,9,1,0,1,3,0,53.3,8,4,2,523,0.9,4,8,23,Lincoln Financial Field,"Philadelphia, Pennsylvania"
760480,2026-06-27,CRO-GHA,GHA,GHA,away,1,2,13,1,0,2,2,2,46.7,6,1,2,455,0.9,9,7,11,Lincoln Financial Field,"Philadelphia, Pennsylvania"
760481,2026-06-27,COL-POR,COL,COL,home,0,0,12,1,0,3,5,2,54.6,24,6,7,544,0.9,6,8,16,Hard Rock Stadium,"Miami Gardens, Florida"
