"match_id","competition_name","season_name","competition_stage","match_date","kick_off","referee_name","stadium_name","team_id","team_name","opponent_id","opponent_name","is_home","goals","opponent_goals","result","total_shots","shots_on_target","blocked_shots","xg_total","fouls_committed","fouls_won","yellow_cards","red_cards","corners","offsides","passes","passes_completed","pass_pct","clearances","interceptions"
"8649","FIFA World Cup 2018","2018","Quarter-finals","2018-07-06","14:00:00.000","Néstor Fabián Pitana","Stadion Nizhny Novgorod (Nizhniy Novgorod)",771,"France",783,"Uruguay",FALSE,2,0,"W",11,2,1,0.5388,18,21,2,0,3,0,567,445,78.5,32,17
"8658","FIFA World Cup 2018","2018","Final","2018-07-15","17:00:00.000","Néstor Fabián Pitana","Stadion Luzhniki",771,"France",785,"Croatia",TRUE,4,2,"W",8,6,1,1.098,14,13,1,0,2,0,292,202,69.2,24,11
"8658","FIFA World Cup 2018","2018","Final","2018-07-15","17:00:00.000","Néstor Fabián Pitana","Stadion Luzhniki",785,"Croatia",771,"France",FALSE,2,4,"L",15,3,4,1.4803,14,14,1,0,6,0,554,448,80.9,13,6
"7582","FIFA World Cup 2018","2018","Round of 16","2018-07-01","14:00:00.000","Björn Kuipers","Stadion Luzhniki",772,"Spain",796,"Russia",TRUE,1,1,"D",24,9,7,1.4411,6,19,1,0,6,0,1157,1026,88.7,8,3
"7582","FIFA World Cup 2018","2018","Round of 16","2018-07-01","14:00:00.000","Björn Kuipers","Stadion Luzhniki",796,"Russia",772,"Spain",FALSE,1,1,"D",8,1,4,1.4064,21,5,2,0,5,0,326,215,66,28,21
"7552","FIFA World Cup 2018","2018","Group Stage","2018-06-23","12:00:00.000","Jair Marrufo","Otkritie Bank Arena",782,"Belgium",777,"Tunisia",TRUE,5,2,"W",23,11,4,5.3364,13,15,0,0,3,0,475,392,82.5,10,16
"7552","FIFA World Cup 2018","2018","Group Stage","2018-06-23","12:00:00.000","Jair Marrufo","Otkritie Bank Arena",777,"Tunisia",782,"Belgium",FALSE,2,5,"L",17,5,3,1.1882,15,12,1,0,2,0,467,374,80.1,9,9
"7532","FIFA World Cup 2018","2018","Group Stage","2018-06-16","16:00:00.000","Bakary Papa Gassama","Mordovia Arena",784,"Peru",776,"Denmark",TRUE,0,1,"L",17,6,3,1.9264,12,19,1,0,3,1,435,347,79.8,20,8
"7532","FIFA World Cup 2018","2018","Group Stage","2018-06-16","16:00:00.000","Bakary Papa Gassama","Mordovia Arena",776,"Denmark",784,"Peru",FALSE,1,0,"W",11,3,3,1.1216,21,11,2,0,7,0,402,302,75.1,16,11
"7560","FIFA World Cup 2018","2018","Group Stage","2018-06-25","18:00:00.000","Ravshan Irmatov","Rostec Arena",772,"Spain",788,"Morocco",TRUE,2,2,"D",18,3,2,2.6045,6,18,0,0,7,0,753,675,89.6,3,9
"7560","FIFA World Cup 2018","2018","Group Stage","2018-06-25","18:00:00.000","Ravshan Irmatov","Rostec Arena",788,"Morocco",772,"Spain",FALSE,2,2,"D",8,3,1,1.0718,18,6,6,0,1,0,251,187,74.5,18,8
"7533","FIFA World Cup 2018","2018","Group Stage","2018-06-17","18:00:00.000","César Arturo Ramos Palazuelos","Rostov Arena",781,"Brazil",773,"Switzerland",TRUE,1,1,"D",21,4,7,1.8666,12,21,1,0,7,1,555,473,85.2,11,22
"7533","FIFA World Cup 2018","2018","Group Stage","2018-06-17","18:00:00.000","César Arturo Ramos Palazuelos","Rostov Arena",773,"Switzerland",781,"Brazil",FALSE,1,1,"D",7,2,1,0.4721,21,11,2,0,2,0,458,363,79.3,21,15
"7564","FIFA World Cup 2018","2018","Group Stage","2018-06-26","18:00:00.000","Cüneyt Çakιr","Saint-Petersburg Stadium ( Gazprom Arena )",775,"Nigeria",779,"Argentina",TRUE,1,2,"L",9,3,1,1.3053,21,17,2,0,3,0,322,210,65.2,9,27
