season_year,data_source,match_id,match_date,competition_stage,team_code,team_name,opponent_code,opponent_name,is_home,goals,opponent_goals,result,total_shots,shots_on_target,blocked_shots,xg_total,fouls_committed,fouls_won,yellow_cards,red_cards,corners,offsides,passes,passes_completed,pass_pct,clearances,interceptions,possession_pct,saves,effective_tackles,venue,venue_city,referee_name
2026,espn_boxscore,760450,2026-06-21,,URU,Uruguay,CPV,Cape Verde,True,2,2,D,17,2,7,,11,,2,0,11,3,511,,80.0,11,7,65.2,2,8,Hard Rock Stadium,"Miami Gardens, Florida",
2026,espn_boxscore,760450,2026-06-21,,CPV,Cape Verde,URU,Uruguay,False,2,2,D,12,4,4,,4,,2,0,4,0,278,,70.0,48,13,34.8,0,15,Hard Rock Stadium,"Miami Gardens, Florida",
2026,espn_boxscore,760451,2026-06-21,,BEL,Belgium,IRN,Iran,True,0,0,D,23,7,6,,7,,1,1,4,3,621,,90.0,11,3,70.1,3,7,SoFi Stadium,"Inglewood, California",
2026,espn_boxscore,760451,2026-06-21,,IRN,Iran,BEL,Belgium,False,0,0,D,7,3,1,,9,,1,0,2,4,270,,70.0,51,12,29.9,7,11,SoFi Stadium,"Inglewood, California",
2026,espn_boxscore,760452,2026-06-21,,NZL,New Zealand,EGY,Egypt,True,1,3,L,11,5,3,,14,,2,0,4,3,421,,80.0,22,4,44.4,4,6,BC Place,Vancouver,
2026,espn_boxscore,760452,2026-06-21,,EGY,Egypt,NZL,New Zealand,False,3,1,W,19,7,6,,8,,1,0,4,0,526,,90.0,37,6,55.6,4,13,BC Place,Vancouver,
2026,espn_boxscore,760453,2026-06-21,,ESP,Spain,SAU,Saudi Arabia,True,4,0,W,22,8,2,,10,,0,0,6,2,726,,90.0,17,13,67.1,1,8,Mercedes-Benz Stadium,"Atlanta, Georgia",
2026,espn_boxscore,760453,2026-06-21,,SAU,Saudi Arabia,ESP,Spain,False,0,4,L,3,1,1,,2,,2,0,1,3,364,,80.0,35,13,32.9,5,12,Mercedes-Benz Stadium,"Atlanta, Georgia",
2026,espn_boxscore,760454,2026-06-22,,NOR,Norway,SEN,Senegal,True,3,2,W,13,7,3,,13,,0,0,5,0,353,,80.0,26,8,41.7,2,9,MetLife Stadium,"East Rutherford, New Jersey",
2026,espn_boxscore,760454,2026-06-22,,SEN,Senegal,NOR,Norway,False,2,3,L,16,4,5,,5,,0,0,4,4,489,,90.0,18,10,58.3,3,7,MetLife Stadium,"East Rutherford, New Jersey",
2026,espn_boxscore,760455,2026-06-22,,JOR,Jordan,ALG,Algeria,True,1,2,L,8,4,0,,11,,1,0,1,1,251,,70.0,36,3,27.9,6,17,Levi's Stadium,"Santa Clara, California",
2026,espn_boxscore,760455,2026-06-22,,ALG,Algeria,JOR,Jordan,False,2,1,W,17,8,5,,6,,1,0,10,0,641,,90.0,15,11,72.1,3,18,Levi's Stadium,"Santa Clara, California",
2026,espn_boxscore,760456,2026-06-22,,ARG,Argentina,AUT,Austria,True,2,0,W,12,5,3,,13,,2,0,1,2,554,,90.0,35,8,53.6,1,11,AT&T Stadium,"Arlington, Texas",
2026,espn_boxscore,760456,2026-06-22,,AUT,Austria,ARG,Argentina,False,0,2,L,6,1,0,,13,,2,0,3,0,468,,90.0,15,9,46.4,2,7,AT&T Stadium,"Arlington, Texas",
2026,espn_boxscore,760457,2026-06-22,,FRA,France,IRQ,Iraq,True,3,0,W,19,5,4,,8,,0,0,4,1,603,,90.0,9,5,55.6,0,9,Lincoln Financial Field,"Philadelphia, Pennsylvania",
2026,espn_boxscore,760457,2026-06-22,,IRQ,Iraq,FRA,France,False,0,3,L,4,0,1,,4,,1,0,2,0,481,,90.0,28,10,44.4,2,8,Lincoln Financial Field,"Philadelphia, Pennsylvania",
2026,espn_boxscore,760458,2026-06-23,,ENG,England,GHA,Ghana,True,0,0,D,19,3,6,,14,,1,0,9,2,633,,90.0,6,1,78.9,0,7,Gillette Stadium,"Foxborough, Massachusetts",
2026,espn_boxscore,760458,2026-06-23,,GHA,Ghana,ENG,England,False,0,0,D,2,1,1,,24,,1,0,2,2,172,,70.0,39,8,21.1,3,17,Gillette Stadium,"Foxborough, Massachusetts",
2026,espn_boxscore,760459,2026-06-23,,COL,Colombia,CDR,DR Congo,True,1,0,W,20,9,6,,12,,2,0,5,7,541,,90.0,18,10,63.5,1,6,Estadio Akron,Guadalajara,
