date,home_team,away_team,home_score,away_score,tournament,neutral,k_factor,elo_home_pre,elo_away_pre
1918-09-20,Uruguay,Argentina,1,1,Copa Lipton,FALSE,30,1593.1360,1607.2888
1918-09-29,Argentina,Uruguay,2,0,Copa Newton,FALSE,30,1610.9215,1589.5033
1919-05-11,Paraguay,Argentina,1,5,Friendly,FALSE,20,1500.0000,1625.8636
1919-05-13,Argentina,Uruguay,2,3,Copa América,TRUE,50,1643.2204,1574.5612
1919-05-15,Paraguay,Argentina,0,3,Friendly,FALSE,20,1482.6432,1613.3433
1919-05-18,Brazil,Argentina,3,1,Copa América,FALSE,50,1495.7634,1629.3010
1919-05-21,Paraguay,Argentina,1,2,Friendly,FALSE,20,1466.6855,1588.1924
1919-05-22,Argentina,Chile,4,1,Copa América,TRUE,50,1597.5741,1280.2151
1919-05-24,Paraguay,Argentina,1,2,Friendly,FALSE,20,1457.3038,1609.7027
1919-06-01,Brazil,Argentina,3,3,Friendly,FALSE,20,1558.9576,1618.2059
1919-07-18,Uruguay,Argentina,4,1,Copa Premio Honor Uruguayo,FALSE,30,1592.9421,1619.3735
1919-08-24,Uruguay,Argentina,2,1,Copa Newton,FALSE,30,1613.7153,1598.6002
1919-09-07,Argentina,Uruguay,1,2,Copa Lipton,FALSE,30,1588.3959,1623.9196
1919-10-19,Argentina,Uruguay,6,1,Copa Premio Honor Argentino,FALSE,30,1570.6438,1641.6718
1919-10-25,Northern Ireland,England,1,1,British Home Championship,FALSE,30,1369.5676,1703.0958
1919-12-07,Uruguay,Argentina,4,2,Friendly,FALSE,20,1614.1676,1598.1479
1920-03-15,England,Wales,1,2,British Home Championship,FALSE,30,1694.2999,1386.6270
1920-04-10,England,Scotland,5,4,British Home Championship,FALSE,30,1666.9196,1636.1850
1920-07-18,Uruguay,Argentina,2,0,Copa Premio Honor Uruguayo,FALSE,30,1624.3369,1587.9786
1920-07-25,Argentina,Uruguay,1,3,Copa Newton,FALSE,30,1573.8821,1638.4334
1920-08-08,Argentina,Uruguay,1,0,Copa Premio Honor Argentino,FALSE,30,1549.0944,1663.2211
1920-09-12,Uruguay,Argentina,1,1,Copa América,TRUE,50,1647.6116,1564.7040
1920-09-20,Chile,Argentina,1,1,Copa América,FALSE,50,1255.5247,1570.5589
1920-09-25,Argentina,Brazil,2,0,Copa América,TRUE,50,1556.7996,1527.9940
1920-10-23,England,Northern Ireland,2,0,British Home Championship,FALSE,30,1676.5275,1368.0804
1921-03-14,Wales,England,0,0,British Home Championship,FALSE,30,1409.7491,1680.4411
1921-04-07,Paraguay,Argentina,3,1,Friendly,FALSE,20,1448.8006,1591.1976
1921-04-09,Scotland,England,3,0,British Home Championship,FALSE,30,1643.3000,1673.6125
1921-04-14,Paraguay,Argentina,2,2,Friendly,FALSE,20,1465.6220,1574.3762
1921-05-21,Belgium,England,0,2,Friendly,FALSE,20,1632.0139,1652.5582
1921-10-02,Argentina,Brazil,1,0,Copa América,FALSE,50,1574.1243,1493.5960
1921-10-16,Argentina,Paraguay,3,0,Copa América,FALSE,50,1587.1895,1458.2944
1921-10-22,Northern Ireland,England,1,1,British Home Championship,FALSE,30,1343.3301,1670.9300
1921-10-30,Argentina,Uruguay,1,0,Copa América,FALSE,50,1605.6706,1668.2752
1922-03-13,England,Wales,1,0,British Home Championship,FALSE,30,1662.3037,1445.9119
1922-04-08,England,Scotland,0,1,British Home Championship,FALSE,30,1666.4821,1652.8898
1922-07-16,Argentina,Basque Country,4,0,Friendly,FALSE,20,1627.9902,1547.5462
1922-07-27,Argentina,Basque Country,3,1,Friendly,FALSE,20,1637.7926,1530.9261
1922-09-28,Argentina,Chile,4,0,Copa América,TRUE,50,1644.7859,1273.6128
1922-10-08,Argentina,Uruguay,0,1,Copa América,TRUE,50,1654.6846,1659.0001
1922-10-15,Brazil,Argentina,2,0,Copa América,FALSE,50,1487.2344,1629.9951
1922-10-18,Argentina,Paraguay,2,0,Copa América,TRUE,50,1587.9030,1507.4279
1922-10-21,England,Northern Ireland,2,0,British Home Championship,FALSE,30,1646.7455,1343.4081
1922-10-22,Argentina,Chile,1,0,Friendly,FALSE,20,1616.8691,1241.0179
1922-10-22,Brazil,Argentina,2,1,Copa Roca,FALSE,30,1529.3265,1618.0830
1922-11-12,Uruguay,Argentina,1,0,Copa Lipton,FALSE,30,1644.9309,1603.5683
1922-12-10,Uruguay,Argentina,1,0,Copa Premio Honor Uruguayo,FALSE,30,1654.1437,1594.3555
1922-12-17,Argentina,Uruguay,2,2,Copa Newton,FALSE,30,1585.8056,1662.6936
1923-03-05,Wales,England,2,2,British Home Championship,FALSE,30,1441.7335,1650.7655
1923-03-19,England,Belgium,6,1,Friendly,FALSE,20,1646.2069,1625.6947
1923-04-14,Scotland,England,2,2,British Home Championship,FALSE,30,1684.6212,1659.5351
1923-05-10,France,England,1,4,Friendly,FALSE,20,1422.9077,1664.7136
1923-05-20,Argentina,Paraguay,0,2,Copa Chevallier Boutell,FALSE,30,1584.8093,1447.3946
1923-05-21,Sweden,England,2,4,Friendly,FALSE,20,1472.6824,1675.4429
1923-05-24,Sweden,England,1,3,Friendly,FALSE,20,1461.9940,1686.1313
1923-05-25,Argentina,Paraguay,1,0,Copa Chevallier Boutell,FALSE,30,1548.9514,1483.2525
1923-06-24,Argentina,Uruguay,0,0,Copa Lipton,FALSE,30,1557.2948,1663.6899
