date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,data_source
1963-04-13,Brazil,Argentina,2,3,Copa Roca,São Paulo,Brazil,FALSE,data/international_results/results.csv
1963-04-16,Brazil,Argentina,5,2,Copa Roca,Rio de Janeiro,Brazil,FALSE,data/international_results/results.csv
1963-05-08,England,Brazil,1,1,Friendly,London,England,FALSE,data/international_results/results.csv
1963-05-29,Czechoslovakia,England,2,4,Friendly,Bratislava,Czechoslovakia,FALSE,data/international_results/results.csv
1963-06-02,German DR,England,1,2,Friendly,Leipzig,German DR,FALSE,data/international_results/results.csv
1963-06-05,Switzerland,England,1,8,Friendly,Basel,Switzerland,FALSE,data/international_results/results.csv
1963-10-12,Wales,England,0,4,British Home Championship,Cardiff,Wales,FALSE,data/international_results/results.csv
1963-10-15,Paraguay,Argentina,0,4,Copa Chevallier Boutell,Asunción,Paraguay,FALSE,data/international_results/results.csv
1963-10-29,Argentina,Paraguay,2,3,Copa Chevallier Boutell,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1963-11-20,England,Northern Ireland,8,3,British Home Championship,London,England,FALSE,data/international_results/results.csv
1964-04-11,Scotland,England,1,0,British Home Championship,Glasgow,Scotland,FALSE,data/international_results/results.csv
1964-05-06,England,Uruguay,2,1,Friendly,London,England,FALSE,data/international_results/results.csv
1964-05-17,Portugal,England,3,4,Friendly,Oeiras,Portugal,FALSE,data/international_results/results.csv
1964-05-24,Republic of Ireland,England,1,3,Friendly,Dublin,Republic of Ireland,FALSE,data/international_results/results.csv
1964-05-27,United States,England,0,10,Friendly,New York,United States,FALSE,data/international_results/results.csv
1964-05-30,Brazil,England,5,1,Friendly,Rio de Janeiro,Brazil,FALSE,data/international_results/results.csv
1964-05-31,Argentina,Portugal,2,0,Friendly,Rio de Janeiro,Brazil,TRUE,data/international_results/results.csv
1964-06-03,Brazil,Argentina,0,3,Friendly,São Paulo,Brazil,FALSE,data/international_results/results.csv
1964-06-04,England,Portugal,1,1,Friendly,São Paulo,Brazil,TRUE,data/international_results/results.csv
1964-06-06,Argentina,England,1,0,Friendly,Rio de Janeiro,Brazil,TRUE,data/international_results/results.csv
1964-09-24,Argentina,Chile,5,0,Copa Carlos Dittborn,Buenos Aires,Argentina,FALSE,data/international_results/results.csv
1964-10-03,Northern Ireland,England,3,4,British Home Championship,Belfast,Northern Ireland,FALSE,data/international_results/results.csv
1964-10-14,Chile,Argentina,1,1,Copa Carlos Dittborn,Santiago,Chile,FALSE,data/international_results/results.csv
1964-10-21,England,Belgium,2,2,Friendly,London,England,FALSE,data/international_results/results.csv
1964-11-18,England,Wales,2,1,British Home Championship,London,England,FALSE,data/international_results/results.csv
