match_id,match_date,competition,season,stage,opponent,is_home,home_team,away_team,home_score,away_score,is_starter,minutes_played,shots,shots_on_target,goals,high_stakes_tags
69299,2010-11-29,La Liga,2010/2011,Regular Season,Real Madrid,True,Barcelona,Real Madrid,5,0,True,94.0,3,0,0,El_Clasico
69307,2010-12-04,La Liga,2010/2011,Regular Season,Osasuna,False,Osasuna,Barcelona,0,3,True,92.0,5,3,2,
69302,2010-12-12,La Liga,2010/2011,Regular Season,Real Sociedad,True,Barcelona,Real Sociedad,5,0,True,91.7,8,2,2,
69275,2010-12-18,La Liga,2010/2011,Regular Season,Espanyol,False,Espanyol,Barcelona,1,5,True,92.0,3,2,0,
69280,2011-01-08,La Liga,2010/2011,Regular Season,RC Deportivo La Coruña,False,RC Deportivo La Coruña,Barcelona,0,4,True,92.0,2,2,1,
69278,2011-01-16,La Liga,2010/2011,Regular Season,Málaga,True,Barcelona,Málaga,4,1,True,92.2,3,2,0,
69295,2011-01-22,La Liga,2010/2011,Regular Season,Racing Santander,True,Barcelona,Racing Santander,3,0,True,92.0,3,2,1,
69296,2011-01-29,La Liga,2010/2011,Regular Season,Hércules,False,Hércules,Barcelona,0,3,True,92.9,10,6,2,
69276,2011-02-05,La Liga,2010/2011,Regular Season,Atlético Madrid,True,Barcelona,Atlético Madrid,3,0,True,92.9,7,5,3,
69248,2011-02-12,La Liga,2010/2011,Regular Season,Sporting Gijón,False,Sporting Gijón,Barcelona,1,1,True,95.2,4,1,0,
69282,2011-02-20,La Liga,2010/2011,Regular Season,Athletic Club,True,Barcelona,Athletic Club,2,1,True,93.5,7,3,1,
69283,2011-02-26,La Liga,2010/2011,Regular Season,Mallorca,False,Mallorca,Barcelona,0,3,True,91.6,2,1,1,
69274,2011-03-02,La Liga,2010/2011,Regular Season,Valencia,False,Valencia,Barcelona,0,1,True,93.0,8,4,1,
69300,2011-03-05,La Liga,2010/2011,Regular Season,Real Zaragoza,True,Barcelona,Real Zaragoza,1,0,True,94.2,4,1,0,
69291,2011-03-13,La Liga,2010/2011,Regular Season,Sevilla,False,Sevilla,Barcelona,1,1,True,92.5,5,2,0,
69303,2011-03-19,La Liga,2010/2011,Regular Season,Getafe,True,Barcelona,Getafe,2,1,True,93.1,4,1,0,
69304,2011-04-02,La Liga,2010/2011,Regular Season,Villarreal,False,Villarreal,Barcelona,0,1,False,42.0,1,1,0,
69305,2011-04-09,La Liga,2010/2011,Regular Season,Almería,True,Barcelona,Almería,3,1,True,92.3,5,3,2,
69245,2011-04-16,La Liga,2010/2011,Regular Season,Real Madrid,False,Real Madrid,Barcelona,1,1,True,94.0,4,3,1,El_Clasico
69271,2011-04-23,La Liga,2010/2011,Regular Season,Osasuna,True,Barcelona,Osasuna,2,0,False,35.0,1,1,1,
69246,2011-04-30,La Liga,2010/2011,Regular Season,Real Sociedad,False,Real Sociedad,Barcelona,2,1,True,93.0,3,1,0,
69234,2011-05-08,La Liga,2010/2011,Regular Season,Espanyol,True,Barcelona,Espanyol,2,0,True,92.0,2,0,0,
69272,2011-05-11,La Liga,2010/2011,Regular Season,Levante UD,False,Levante UD,Barcelona,1,1,True,91.2,5,0,0,
18236,2011-05-28,Champions League,2010/2011,Final,Manchester United,True,Barcelona,Manchester United,3,1,True,93.1,5,2,1,CL_knockout_R16plus;CL_final
69268,2011-08-29,La Liga,2011/2012,Regular Season,Villarreal,True,Barcelona,Villarreal,5,0,True,90.1,5,5,2,
69264,2011-09-10,La Liga,2011/2012,Regular Season,Real Sociedad,False,Real Sociedad,Barcelona,2,2,False,31.2,4,2,0,
70220,2011-09-17,La Liga,2011/2012,Regular Season,Osasuna,True,Barcelona,Osasuna,8,0,True,91.1,8,6,3,
70223,2011-09-21,La Liga,2011/2012,Regular Season,Valencia,False,Valencia,Barcelona,2,2,True,93.5,2,1,0,
69297,2011-09-24,La Liga,2011/2012,Regular Season,Atlético Madrid,True,Barcelona,Atlético Madrid,5,0,True,91.8,7,5,3,
69265,2011-10-02,La Liga,2011/2012,Regular Season,Sporting Gijón,False,Sporting Gijón,Barcelona,0,1,True,93.0,5,2,0,
69293,2011-10-15,La Liga,2011/2012,Regular Season,Racing Santander,True,Barcelona,Racing Santander,3,0,True,91.6,7,4,2,
69329,2011-10-22,La Liga,2011/2012,Regular Season,Sevilla,True,Barcelona,Sevilla,0,0,True,97.7,7,2,0,
69318,2011-10-25,La Liga,2011/2012,Regular Season,Granada,False,Granada,Barcelona,0,1,True,93.6,4,0,0,
69314,2011-10-29,La Liga,2011/2012,Regular Season,Mallorca,True,Barcelona,Mallorca,5,0,True,92.8,8,4,3,
69330,2011-11-06,La Liga,2011/2012,Regular Season,Athletic Club,False,Athletic Club,Barcelona,2,2,True,93.1,4,2,1,
69331,2011-11-19,La Liga,2011/2012,Regular Season,Real Zaragoza,True,Barcelona,Real Zaragoza,4,0,True,91.8,6,3,1,
69315,2011-11-26,La Liga,2011/2012,Regular Season,Getafe,False,Getafe,Barcelona,1,0,True,93.4,6,1,0,
69332,2011-11-29,La Liga,2011/2012,Regular Season,Rayo Vallecano,True,Barcelona,Rayo Vallecano,4,0,True,90.3,3,1,1,
69333,2011-12-03,La Liga,2011/2012,Regular Season,Levante UD,True,Barcelona,Levante UD,5,0,True,91.2,6,2,1,
69334,2011-12-10,La Liga,2011/2012,Regular Season,Real Madrid,False,Real Madrid,Barcelona,1,3,True,94.5,2,1,0,El_Clasico
69312,2012-01-08,La Liga,2011/2012,Regular Season,Espanyol,False,Espanyol,Barcelona,1,1,True,93.9,1,0,0,
69327,2012-01-15,La Liga,2011/2012,Regular Season,Real Betis,True,Barcelona,Real Betis,4,2,True,92.0,5,3,2,
69335,2012-01-22,La Liga,2011/2012,Regular Season,Málaga,False,Málaga,Barcelona,1,4,True,92.2,7,5,3,
69338,2012-01-28,La Liga,2011/2012,Regular Season,Villarreal,False,Villarreal,Barcelona,0,0,True,93.0,5,2,0,
69316,2012-02-04,La Liga,2011/2012,Regular Season,Real Sociedad,True,Barcelona,Real Sociedad,2,1,True,94.2,7,5,1,
69336,2012-02-11,La Liga,2011/2012,Regular Season,Osasuna,False,Osasuna,Barcelona,3,2,True,95.1,4,3,0,
69328,2012-02-19,La Liga,2011/2012,Regular Season,Valencia,True,Barcelona,Valencia,5,1,True,92.3,10,4,4,
69337,2012-02-26,La Liga,2011/2012,Regular Season,Atlético Madrid,False,Atlético Madrid,Barcelona,1,2,True,93.2,1,1,1,
69322,2012-03-11,La Liga,2011/2012,Regular Season,Racing Santander,False,Racing Santander,Barcelona,0,2,True,93.0,8,4,2,
69326,2012-03-17,La Liga,2011/2012,Regular Season,Sevilla,False,Sevilla,Barcelona,0,2,True,93.0,3,1,1,
70225,2012-03-20,La Liga,2011/2012,Regular Season,Granada,True,Barcelona,Granada,5,3,True,93.1,6,4,3,
