event_id,date,team_a,team_b,stage,n_cards_team_a,n_cards_team_b,n_cards_total,both_teams_carded,card_events,first_card_min,first_card_team,first_card_type,first_card_display
760474,2026-06-26,Senegal,Iraq,"2026 FIFA World Cup, Group Stage",2,3,5,True,13|Iraq|red-card|13';18|Senegal|yellow-card|18';75|Iraq|yellow-card|75';81|Senegal|yellow-card|81';90|Iraq|yellow-card|90',13,Iraq,red-card,13'
760476,2026-06-27,Egypt,Iran,"2026 FIFA World Cup, Group Stage",3,4,7,True,19|Iran|yellow-card|19';20|Egypt|yellow-card|20';42|Egypt|yellow-card|42';43|Iran|yellow-card|43';79|Iran|yellow-card|79';90|Egypt|yellow-card|90'+2';90|Iran|yellow-card|90'+4',19,Iran,yellow-card,19'
760477,2026-06-27,New Zealand,Belgium,"2026 FIFA World Cup, Group Stage",2,0,2,False,46|New Zealand|yellow-card|46';56|New Zealand|yellow-card|56',46,New Zealand,yellow-card,46'
760478,2026-06-27,Cape Verde,Saudi Arabia,"2026 FIFA World Cup, Group Stage",1,3,4,True,4|Saudi Arabia|yellow-card|4';8|Cape Verde|yellow-card|8';67|Saudi Arabia|yellow-card|67';90|Saudi Arabia|yellow-card|90'+3',4,Saudi Arabia,yellow-card,4'
760480,2026-06-27,Croatia,Ghana,"2026 FIFA World Cup, Group Stage",1,1,2,True,68|Croatia|yellow-card|68';90|Ghana|yellow-card|90'+4',68,Croatia,yellow-card,68'
760481,2026-06-27,Colombia,Portugal,"2026 FIFA World Cup, Group Stage",1,0,1,False,86|Colombia|yellow-card|86',86,Colombia,yellow-card,86'
760482,2026-06-27,Congo DR,Uzbekistan,"2026 FIFA World Cup, Group Stage",3,2,5,True,21|Congo DR|yellow-card|21';43|Uzbekistan|yellow-card|43';45|Congo DR|yellow-card|45'+5';48|Uzbekistan|yellow-card|48';62|Congo DR|yellow-card|62',21,Congo DR,yellow-card,21'
760483,2026-06-28,Jordan,Argentina,"2026 FIFA World Cup, Group Stage",3,0,3,False,17|Jordan|yellow-card|17';64|Jordan|yellow-card|64';90|Jordan|yellow-card|90'+4',17,Jordan,yellow-card,17'
760484,2026-06-28,Algeria,Austria,"2026 FIFA World Cup, Group Stage",0,1,1,False,11|Austria|yellow-card|11',11,Austria,yellow-card,11'
760485,2026-06-27,Panama,England,"2026 FIFA World Cup, Group Stage",2,1,3,True,53|Panama|yellow-card|53';60|England|yellow-card|60';84|Panama|yellow-card|84',53,Panama,yellow-card,53'
