"match_id","match_date","team_name","referee_known_from_history","is_knockout","actual","lambda_baseline","lambda_hier","nll_baseline","nll_hier"
760489,"2026-06-29","Paraguay",TRUE,0,2,1.9765625,1.31556829182101,1.30699123094414,1.46017800566968
760490,"2026-06-30","Ivory Coast",TRUE,0,0,1.47752463054187,1.09853740284465,1.47752463054187,1.09853740284465
760490,"2026-06-30","Norway",TRUE,0,1,1.10252463054187,0.949947392188665,1.00492196182501,1.00129606475307
760491,"2026-06-30","Mexico",TRUE,0,0,1.788013136289,1.35013001969166,1.788013136289,1.35013001969166
760491,"2026-06-30","Ecuador",TRUE,0,4,1.43819973130318,1.34254147029116,3.16268498222037,3.34233755155502
760492,"2026-06-30","France",TRUE,0,0,1.21909986565159,0.850348380467266,1.21909986565159,0.850348380467266
760492,"2026-06-30","Sweden",TRUE,0,0,1.601553618795,2.22519466770626,1.601553618795,2.22519466770626
760493,"2026-07-01","Belgium",TRUE,0,1,1.54261057173679,1.16391292784868,1.10913441404869,1.01212538559112
760493,"2026-07-01","Senegal",TRUE,0,1,1.45113268608414,1.18043066825511,1.07878827178388,1.01455132326647
760494,"2026-07-01","United States",TRUE,0,1,1.48058252427184,0.956884989118423,1.08814691645401,1.00095706242927
760494,"2026-07-01","Bosnia and Herzegovina",TRUE,0,1,1.84587378640777,1.65262408679853,1.23292102405795,1.1502597065269
760495,"2026-07-01","England",TRUE,0,1,0.938349514563107,0.739384005068861,1.0019822971384,1.04132187009397
760495,"2026-07-01","DR Congo",TRUE,0,1,1.59587378640777,1.49558466500714,1.12845237170537,1.09306745434411
760496,"2026-07-02","Portugal",TRUE,0,1,1.33689839572193,1.12086736180454,1.04654609471427,1.00676454603124
760496,"2026-07-02","Croatia",TRUE,0,2,1.44214876033058,1.62270654768679,1.40302754879904,1.34766280102256
760497,"2026-07-02","Spain",TRUE,0,0,0.915151515151515,0.76452508266729,0.915151515151515,0.76452508266729
760497,"2026-07-02","Austria",TRUE,0,1,1.46590909090909,1.60797475678987,1.08343350102563,1.13299928467008
760498,"2026-07-02","Switzerland",TRUE,0,0,1.73295454545455,1.15086441560274,1.73295454545455,1.15086441560274
760498,"2026-07-02","Algeria",TRUE,0,2,1.09090909090909,0.899550473663693,1.61003351748978,1.80441788251039
760499,"2026-07-03","Australia",TRUE,1,0,1.7125786163522,1.3305539263611,1.7125786163522,1.3305539263611
760499,"2026-07-03","Egypt",TRUE,1,2,1.60806174957118,1.47833405529824,1.35114978714298,1.38964960494339
760500,"2026-07-03","Argentina",TRUE,1,1,1.98361469712016,0.9469434030322,1.29869391219829,1.00145935509976
760500,"2026-07-03","Cape Verde",TRUE,1,1,1.46108490566038,1.61680802231411,1.08190565982314,1.13635417337222
760501,"2026-07-03","Colombia",TRUE,1,2,1.80738993710692,0.806700834370503,1.31676955594064,1.92945280040822
760501,"2026-07-03","Ghana",TRUE,1,3,1.69897084048027,1.88387881140872,1.90066227034399,1.77563973384493
760502,"2026-07-04","Canada",TRUE,1,4,1.89050387596899,1.98715601338265,2.52118412799053,2.41839193357243
760502,"2026-07-04","Morocco",TRUE,1,4,1.40452876376989,1.76341090221439,3.22377520581905,2.67246494796948
760503,"2026-07-04","Paraguay",TRUE,1,0,1.96511627906977,1.90164144175896,1.96511627906977,1.90164144175896
760503,"2026-07-04","France",TRUE,1,3,1.16026289180991,0.883487184664029,2.506082530102,3.0468821314469
760504,"2026-07-05","Brazil",TRUE,1,1,1.46010186757216,1.50397613801592,1.08159566197619,1.09586377829504
760504,"2026-07-05","Norway",TRUE,1,0,1.08243727598566,1.71023555040888,1.08243727598566,1.71023555040888
760505,"2026-07-05","Mexico",TRUE,1,2,1.67137096774194,1.75715267444984,1.33722969148115,1.32291045422433
760505,"2026-07-05","England",TRUE,1,5,0.940092165898618,1.1594544781385,6.03647070716188,5.20719813573888
760506,"2026-07-06","Portugal",TRUE,1,2,1.32014205986809,1.51214956940827,1.45781053658857,1.37823236110573
760506,"2026-07-06","Spain",TRUE,1,1,0.860159817351598,1.10244496730146,1.01079689022144,1.00491455648831
760507,"2026-07-06","United States",TRUE,1,2,1.44327362135581,1.50862610107204,1.40259303870501,1.37937454201791
760507,"2026-07-06","Belgium",TRUE,1,0,1.51381879355924,1.43945065821465,1.51381879355924,1.43945065821465
760508,"2026-07-07","Switzerland",TRUE,1,3,1.63228639872238,1.8399285069661,1.95410067627441,1.80250782832527
760508,"2026-07-07","Colombia",TRUE,1,2,1.82683605986773,1.60110459964053,1.31481215743455,1.35286424855642
760509,"2026-07-07","Argentina",TRUE,1,0,1.93744343891403,1.44087508470926,1.93744343891403,1.44087508470926
760509,"2026-07-07","Egypt",TRUE,1,4,1.64573906485671,2.42498018843576,2.83103464372605,2.05974060022826
760510,"2026-07-09","France",TRUE,1,0,1.24084454409567,1.27454281049863,1.24084454409567,1.27454281049863
760510,"2026-07-09","Morocco",TRUE,1,1,1.5390134529148,2.42160762439879,1.10787185676111,1.53717599718202
760511,"2026-07-10","Spain",TRUE,1,2,0.868040966386555,1.31461908316224,1.84422088522175,1.46067235758611
760511,"2026-07-10","Belgium",TRUE,1,2,1.43783482142857,2.41303901779221,1.40470523034342,1.34441228567411
760512,"2026-07-11","Norway",TRUE,1,1,0.976666666666667,1.09992684879022,1.0002765323058,1.00468317229699
760512,"2026-07-11","England",TRUE,1,0,1.12575757575758,0.915876077522056,1.12575757575758,0.915876077522056
760513,"2026-07-11","Argentina",TRUE,1,3,1.84603174603175,1.44549599595056,1.79867621586054,2.1318979277973
760513,"2026-07-11","Switzerland",TRUE,1,2,1.70925925925926,2.14525370093524,1.33028624993014,1.31188523973465
